# Blade spanwise distribution
# Source     : data_library/tidal_blade_radial_source.tsv (interpolated).
# Convention : SI units (m, deg, 1/m). Dimensionless = "-".
# Datum      : first row z = 0 at first tabulated station; radial r (hub) there is 1.375 m.
#              r/R and z/L are root-to-tip 0 to 1.
# Notes      : twist beta is structural built twist / washout (not angle of attack or pitch DOF).
#              naca_series: 4=four-digit, 5=five-digit, 6=six-series.
#              naca_m for 6-series is the family (e.g. 63 / 64); naca_p = design Cl*10; naca_xx = thickness %.
#              Full-span NACA 63-415 baseline: naca_series=6, naca_m=63, naca_p=4, naca_xx=15.
#
# Schema (in column order):
#   spanwise_pos       [m]     spanwise position z, root to tip
#   radial_pos         [m]     radial position r from rotor centre
#   norm_radial_pos    [-]     r / R_tip, 0 -> 1
#   norm_spanwise_pos  [-]     z / L,     0 -> 1
#   chord_dist         [m]     chord length c at this station
#   twist_dist         [deg]   structural built twist (washout) beta
#   naca_series        [-]     NACA family code (4, 5 or 6)
#   naca_m             [-]     NACA "m" digit(s)
#   naca_p             [-]     NACA "p" digit
#   naca_xx            [-]     NACA thickness in %
#   kappa0_x           [1/m]   reference curvature about x
#   kappa0_y           [1/m]   reference curvature about y
#   kappa0_z           [1/m]   reference twist about z
#
# units: m, m, -, -, m, deg, -, -, -, -, 1/m, 1/m, 1/m
  spanwise_pos     radial_pos  norm_radial_pos  norm_spanwise_pos      chord_dist      twist_dist  naca_series   naca_m   naca_p  naca_xx     kappa0_x     kappa0_y     kappa0_z
      7.425000     8.80000000     0.7714285714       0.7714285714     0.789327619     2.149116698            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.480000     8.85500000     0.7771428571       0.7771428571     0.784233601     2.097673808            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.535000     8.91000000     0.7828571429       0.7828571429     0.779246133     2.047431210            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.590000     8.96500000     0.7885714286       0.7885714286     0.774266240     1.997273980            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.645000     9.02000000     0.7942857143       0.7942857143     0.769344785     1.947819385            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.700000     9.07500000     0.8000000000       0.8000000000     0.764461335     1.898822001            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.755000     9.13000000     0.8057142857       0.8057142857     0.759607970     1.850221991            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.810000     9.18500000     0.8114285714       0.8114285714     0.754801905     1.802247188            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.865000     9.24000000     0.8171428571       0.8171428571     0.750016754     1.754526335            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
      7.920000     9.29500000     0.8228571429       0.8228571429     0.745286094     1.707467657            6   63.000    4.000   15.000   0.000000000   0.000000000   0.000000000
